K,0,1,2,3,4,5,6,7,8,9
25,13|5923|80|67,10|6742|24|56,17|5958|190|396,10|6131|39|72,15|5842|128|471,16|5421|246|682,15|5918|127|497,13|6265|40|73,18|5851|110|945,15|5949|101|297
50,29|5923|357|1024,22|6742|54|288,37|5958|601|1919,21|6131|195|1137,32|5842|711|3584,33|5421|705|1812,28|5918|529|753,25|6265|122|794,34|5851|293|1488,31|5949|453|1070
100,55|5923|1308|3710,51|6742|740|4752,63|5958|2037|4978,58|6131|1714|4774,57|5842|1993|5721,60|5421|1703|4317,62|5918|3014|4748,55|6265|970|5143,63|5851|920|3590,60|5949|1330|3863
